No. Horas Estudio Nota Promedio Semestral
1 1.94 3.19
2 1.31 2.09
3 1.86 3.07
4 1.61 2.72
5 1.97 3.02
6 2.23 4.08
7 2.27 3.81
8 1.93 3.08
9 1.81 2.98
10 1.68 3.6
11 1.83 3.03
12 2.3 4.02
13 2.26 3.16
14 2.44 3.81
15 1.35 2.53
16 2 2.92
17 1.45 2.58
18 1.75 2.76
19 1.58 2.09
20 2.2 3.34
21 1.71 2.87
22 2.07 3.9
23 1.39 2.53
24 1.74 2.71
25 2.38 3.89
26 1.42 2.52
27 1.99 3.25
28 1.5 2.38
29 2.09 3.78
30 2.39 4.43
31 1.53 2.24
32 2.41 3.45
33 2.17 3.35
34 1.8 2.82
35 1.83 2.64
36 1.68 2.72
37 1.86 2.67
38 1.77 2.33
39 1.34 2.43
40 1.31 2.73
41 2.1 3.46
42 2.01 3.22
43 1.34 2.66
44 1.7 2.94
45 1.89 3.03
46 1.63 2.4
47 2.07 3.44
48 1.73 2.72
49 1.64 2.59
50 1.84 3.23
51 1.7 3.12
52 2.07 3.41
53 1.54 2.75
54 1.86 2.95
55 1.82 2.92
56 2.16 3.5
57 1.43 2.23
58 2.23 3.6
59 2.29 3.68
60 2.06 3.28
61 1.93 2.92
62 2.19 3.47
63 2.22 3.74
64 1.89 3.1
65 2.5 4.4
66 1.52 2.38
67 1.31 2.22
68 2.2 3.16
69 1.34 2.28
70 1.65 3.02
71 1.56 2.15
72 1.4 2.48
73 1.81 3.42
74 1.61 2.28
75 1.33 2.29
76 1.98 2.85
77 1.81 3.09
78 1.77 2.63
79 2.03 3.41
80 2.35 3.94
81 1.51 2.51
82 1.49 2.51
83 1.45 2.46
84 2.02 3.85
85 1.36 2.4
86 2.02 3.06
87 1.35 2.72
88 1.64 2.04
89 1.66 2.98
90 2.38 3.54
91 1.67 2.3
92 1.64 3.12
93 2.05 3
94 1.96 3.04
95 1.78 2.56
96 1.46 2.19
97 1.6 1.97
98 1.38 2.47
99 2.18 4.02
100 2.27 3.85
